article_body,category,date_posted,title
"SYDNEY/MONTREAL (Reuters) - Global regulators have held off approving the Boeing 737 MAX despite a decision by the U.S. Federal Aviation Administration to end a 20-month grounding, highlighting changes in the global regulatory pecking order caused by two crashes of the jet.,The announcements from East to West highlighted China's growing clout in aerospace and global affairs.,Now, however, the ungrounding process is expected to take days, weeks or longer as foreign regulators check the FAA's homework and impose their own conditions for a return to service.,In the past, regulators promptly followed the guidance of the FAA, credited for decades with pioneering aviation safety. But many are now wary of seeming to toe the FAA line after the U.S. agency was faulted for lax oversight.,Canada and Brazil, two aircraft-producing nations with heft in the industry, are expected to back the FAA's decision within weeks. But both said on Wednesday they weren't yet ready to decide.,""I think it's causing the countries to be a little bit more critical of the type-certificate validation process,"" said Mike Daniel, a former FAA certification expert and accident investigator based in Singapore. ""Hopefully they're a little bit more critical of what their air operators are required to do with regard to training."",The ability of regulators to co-operate is crucial in a sector spanning dozens of jurisdictions.,Having a regulator such as the FAA do the heavy lifting to certify a U.S. plane reduces costs and time, because agencies abroad can validate the results without having to duplicate them, said Teal Group analyst Richard Aboulafia.,""What the FAA does need are more resources,"" he said.,It has been closely involved in vetting the MAX changes and is expected to have greater scrutiny of future projects like Boeing's 777X, while the FAA may do likewise with Airbus jets.,The crisis has boosted EASA's influence as some agencies wait for its decision on the MAX rather than copy the FAA.,""We have been working with EASA since the early days on the issue and their position will be taken into account,"" a spokesman for Australia's Civil Aviation Safety Authority said.,Industry sources say EASA could issue its ungrounding order as early as next week, followed by a 30-day comment period.,But there will be some differences between what the FAA approved and what Europe and Canada will require for their airlines. Canada, one of the last major nations before the U.S. to ground the MAX, has faced criticism for shadowing its ally.,'ARM IN ARM',FAA chief Steve Dickson played down the differences.,""There's very little daylight"" between the FAA and regulators around the world, he said, adding that the FAA had worked ""arm in arm"" with Europe, Canada and Brazil.,""As painful and as arduous as the process has been, it has really strengthened the cooperation between these regulators and I think it put us in a much stronger position globally for aviation safety going forward,"" he said. He expected other agencies to approve the MAX in a ""relatively short period of time"".,That still leaves unanswered questions over China's plans for approving the MAX. As the biggest operator, its decisions have an immediate impact on Boeing, and its broader airspace ban could hamper the return to service by other Asian airlines.,But as a rising aerospace power with its own commercial jet programme and ambitions to be taken seriously as a regulator, China has wider interests too, analysts say. Some do not exclude Beijing using the MAX as a political bargaining chip.,""We worry that it might be used as a tool in the escalating tensions between the U.S. and Chinese governments,"" Morningstar analyst Burkett Huey wrote. ""That noted, we are encouraged by the coming change in the U.S. government and think the new administration may have a less combative trade policy, which we think increases the chance of Chinese recertification.""",Middle East & Africa,2020-11-19,"Analysis: As regulators prepare to weigh in on 737 MAX, FAA's global dominance fades"
"The world's largest coffee chain will also boost starting pay by 5% in order to help attract and retain employees.,The memo, dated Nov. 2, was first reported by Business Insider on Wednesday.,The increase is ""one of the most substantial investments in pay in our company's history,"" Rossann Williams, Starbucks' president of U.S. retail, wrote in the memo.,Employees with the company for three years or more will get at least an 11% pay hike, and the company will increase the premium it already pays above minimum wage in every market, it said.",The Great Reboot,2020-11-18,Starbucks to hike U.S. employee pay at least 10%: memo
"""Our view is that we will partner with other autonomous providers over a period of time,"" Dara Khosrowshahi said at the RBC Capital Markets conference when asked about reports Uber is looking to sell its autonomous driving unit, Advanced Technologies Group (ATG).,He said Uber could offer competitors, who have poured billions of dollars into the development of robotaxis, a large customer base and valuable data on profitable routes generated through its ride-hailing business.,Reuters last week reported that Uber is in ongoing talks to sell its ATG unit to self-driving car startup Aurora, as Uber was seeking options for the costly unit, with fully automated vehicles still several years away.,Khosrowshahi declined to directly comment on the reports, but said Uber was looking to create an open network and fund ATG both internally and externally.,""We're going to be pursuing all paths forward here,"" the CEO said.,Khosrowshahi in May said Uber was open to using technology from competitors in the industry.,Khosrowshahi said fully automated vehicles that no longer require any human supervision were still ten to 15 years away and their progress dependent on local regulation.",Middle East & Africa,2020-11-18,Uber looks to partner with other self-driving companies -CEO
"(Reuters) - Target Corp blew past analyst expectations for quarterly profit and sales on Wednesday as more Americans used the retailer's quick-delivery services to buy everything from electronics to home goods during the COVID-19 pandemic.,Shares of the Minneapolis-based retailer hit a record high of $168.42 with a gain of about 3% in morning trading, adding to the 27% advance seen so far this year.,Comparable digital sales rose 155% in the third quarter, the company said, driven largely by same-day services like Drive up, Shipt or straight in-store pick ups, with more than 95% of sales being fulfilled through stores.,Target, which operates nearly 1,900 stores, has emerged as one of the big winners from the disruption caused by the coronavirus health crisis as investments in its private label and online business, including faster shipments, have paid off.,While people were making fewer trips outdoors, many who did venture out visited Target, raising its store traffic during the quarter. Bigger rival Walmart on Monday said it saw foot traffic fall, though U.S. e-commerce sales surged 79%.,""The investments we've made in safety and our team are being recognized, and they're rewarding us even during the pandemic with more and more trips to our stores,"" said Chief Executive Officer Brian Cornell said on a media call.,The retailer was also winning the loyalty of fresh customers, analysts said.,""It's clear that Target is not only gaining new customers but also retaining them, which will be critical as we move into 2021,"" said Gordon Haskett analyst Chuck Grom.,Comparable sales, which include online and store sales, rose 20.7% in the third quarter ended Oct.31, trouncing expectations for an 11.31% increase, according to IBES data from Refinitiv.,Electronics sales jumped more than 50%, while comparable sales for the home category were up in the mid-20% range.,Other categories that performed well in the quarter included home decor, intimates and sleepwear, men's apparel, food and beverage, toys, and beauty.,Earlier this month, Target said it struck a long-term deal with Ulta Beauty Inc to open the cosmetics store chain's stores at the retailer's locations.,The pandemic has forced retailers to bring forward their holiday promotions, casting a shadow over the traditional holiday shopping season from Thanksgiving to Christmas day.,""We expect this to be a season that's going to be very different, unlike any other we've ever seen. But we expect that guests will decorate their home, and there'll be gifts under the tree,"" Cornell said.,Retailers that have seen sales surge during the pandemic, including Target and Walmart, are grappling with how to restock shelves quickly with highly sought essentials, especially as COVID-19 cases are surging in much of the United States and across the world, spurring Britain and other countries in Europe, and many American states, to go into another lockdown.,Target, whose inventory of cleaning and paper products had taken a hit at the start of the health crisis, said it was making progress in these categories even though sales had not returned to pre-pandemic levels. It said it felt ""well positioned"" in all of its major categories heading into the peak of the holiday season.,Target's net earnings rose to $1.01 billion, from $714 million a year earlier. On an adjusted basis, the company earned $2.79 per share, beating estimates for $1.60.,Total revenue surged 21.3% to $22.63 billion, beating estimates for $20.93 billion.",Retail,2020-11-18,Target beats estimates as same-day delivery boosts online demand
"NEW YORK (Reuters) - Pfizer Inc on Tuesday updated its analysis of the safety profile of its COVID-19 vaccine seen during its large, late-stage trial, saying that 3.8% of participants experienced fatigue after receiving a second dose of the shot.,It said the updated analysis was based on 8,000 trial participants. Pfizer said in a previous analysis that 3.7% of 6,000 volunteers had experienced fatigue.,Pfizer also added that there was a second adverse event with a frequency of at least 2% in the trial. The U.S. drugmaker said 2% of participants experienced headaches after the second shot.",Healthcare & Pharmaceuticals,2020-11-18,Pfizer says analysis shows 3.8% of participants experienced fatigue
"SEOUL (Reuters) - Electric vehicles (EVs), benefiting globally from a push for tighter emissions controls, are facing challenges after a global string of fires from overheating batteries.,Here are some vehicle recalls and investigations facing major EV makers worldwide.,After 16 Kona EVs caught fire in Korea, Canada and Europe over two years, Hyundai Motor Co is expanding a recall to cover at least 74,000 of its top-selling EVs in South Korea, the United States, Europe and Canada to update its battery management system.,About 23,000 Kona EVs in South Korea have completed the software upgrade, with 800 of them found to have battery defects requiring replacement of affected modules, according to the office of lawmaker Jang Kyung-tae, which was briefed by South Korea's transport ministry.,Hyundai, in a filing to the U.S. National Highway Traffic Safety Administration (NHTSA) in October, blamed ""internal damage to certain cells of the lithium-ion battery increasing the risk of an electrical short circuit."",The battery maker, LG Chem Ltd denied any cell defects, saying a joint investigation was under way.,General Motors Co said last week it was recalling nearly 69,000 Chevrolet Bolt EVs worldwide that pose a fire risk after five reported fires and two minor injuries.,Affected vehicles will get battery software updates, limiting charges to 90% of capacity.,In October, NHTSA opened a probe after reviewing reports of three Bolt EVs catching fire under the rear seat while parked. The probe covers 77,842 Bolt EVs from the 2017 through 2020 model years.,LG Chem is the supplier of the batteries.,In September, Ford Motor Co recalled 20,500 Kuga plug-in hybrid EVs in Europe and suspended sales over battery fire concerns. There had been seven fires but no injuries.,Ford offered to replace the entire battery pack, saying the root cause had been identified as a battery-cell contamination issue in its supplier's production process, which could cause ""serious consequences."",The Kuga setbacks forced the automaker to pool its fleet with other automakers to avoid a fine. It also delayed its U.S. production of its plug-in electric Escape SUV, which shares the same batteries, to next year.,Samsung SDI Co Ltd is the battery supplier.,In the United States, Bayerische Motoren Werke AG (BMW) said it will recall 4,509 plug-in hybrid EVs, saying debris may have been able to enter battery cells during production at supplier Samsung SDI.,This could lead to short-circuiting and a ""thermal event"" which could increase the risk of an injury, BMW said, instructing drivers not to charge their vehicles.,Altogether BMW has recalled some 26,000 plug-in hybrids, mostly in Europe, over the potential battery problems.,A spokesman at Samsung SDI said an investigation is under way about the cause of the fire, declining to elaborate further.,NHTSA said last year that it was probing potential defects in certain Tesla Inc Model S and Model X vehicles that could result in non-crash fires in the affected battery packs.,The probe was in response to a petition from an attorney representing plaintiffs in a class-action lawsuit filed against the electric car maker last year. They claim Tesla limited the battery range of older vehicles via a software update to avoid a costly recall to fix alleged defective batteries.,Japanese battery manufacturer Panasonic Corp supplies Tesla with battery cells, while Tesla turns them into battery packs.",Autos,2020-11-18,Factbox: Battery fires put automakers in hot seat over EVs
"KUALA LUMPUR (Reuters) - Former Malaysian prime minister Najib Razak asked a U.S. court on Tuesday for permission to seek documents and testimony from investment bank Goldman Sachs to help in his defence against criminal charges in Malaysia over the 1MDB financial scandal.,Najib, who is on bail after being sentenced to 12 years in jail in July on charges of corruption and money laundering, is expected to appeal the conviction in February and faces four more trials related to the scandal.,The U.S. Justice Department has said about $4.5 billion was misappropriated from state fund 1Malaysia Development Berhad (1MDB), which Najib co-founded in 2009, including some funds Goldman had helped raise for the firm.,In a court filing in New York, Najib said Goldman Sachs and its former Southeast Asia chairman, Tim Leissner, probably had evidence that 1MDB officials schemed to defraud the fund and were now falsely implicating him to avoid responsibility.,Najib added that efforts by Leissner and others to hide the money trail misled him to believe that 1MDB funds that went into his accounts were political donations from the Saudi royal family.,""This effort spanned continents and multiple jurisdictions, included the deployment of an array of shell companies, and involved numerous individuals,"" Najib said in the filing.,A Goldman Sachs spokesman declined to comment, as did a lawyer for Leissner.,Goldman has agreed to pay more than $5 billion, including a record $2.9 billion in the United States, to settle investigations into its role in underwriting $6.5 billion in bond sales for 1MDB.,Leissner pleaded guilty to conspiracy to launder money and conspiracy to violate the Foreign Corrupt Practices Act in 2018.",Banks,2020-11-18,"Malaysia's Najib seeks to depose Goldman Sachs, ex-banker in 1MDB defence"
"(Reuters) - Just as the novel coronavirus was gaining a foothold in the United States in mid-March, Pfizer Inc Chief Executive Albert Bourla called on his top vaccine scientists and laid out a clear mission:,""He basically said, 'Your mandate is to get this vaccine made. And if you need resources, you come and you ask for them, and you're going to get them',""chief viral vaccine scientist Philip Dormitzer told Reuters.,The assignment was both inspiring and daunting. It provided researchers with the backing to tackle something that had never been done before: design a vaccine to stop a pandemic in its tracks in less than a year.,""He did not want us to focus on the potential barriers we might face, but instead said that it is much better to try to do something that seemed impossible, and even if you don't succeed, you still (will) have done something great, "" said Dormitzer, noting that new vaccine development can cost on the order of $1 billion.,What followed was a full-bore effort carried out under strict coronavirus lockdown conditions, borrowing elements from ongoing flu and cancer research, according to Reuters interviews with half a dozen scientists critical to the vaccine program run by Pfizer and its German partner BioNTech SE. On Nov. 9, the companies reported the first promising results from large-scale, scientifically rigorous clinical trials around the world - although potential roadblocks remain and widespread distribution is not expected until at least April.,On Monday, Moderna Inc, a scrappy biotech with nearly $1 billion in research and development backing from the U.S. government, announced what appeared to be its own successful vaccine, using the same new technology that brought Pfizer such rapid results.,Both companies have reported preliminary findings of more than 90% effectiveness - an unexpectedly high rate - raising hope for an end to the pandemic that has killed more than 1.3 million people globally, upended economies and disrupted daily life for billions of people.,Their work validates that of several tiny biotechnology firms, which for years have been laboring to prove a once-unorthodox idea: The human body can act as its own vaccine factory. Both the Pfizer and Moderna inoculations work by injecting people with customized genetic code that instructs human cells to make key virus proteins to induce an immune response.,In Pfizer's and BioNTech's case, decision-making that normally would take months was reduced to days, including the crucial call on which vaccine version to use in a human clinical trial that has enrolled about 44,000 people worldwide so far.,In many ways, however, the work has just begun. Pfizer-BioNTech and Moderna still must finalize their data on efficacy and safety, and share that information with the scientific community and regulators - including the U.S. Food and Drug Administration, which will make the call on whether to authorize the vaccines for emergency use. The companies will have to increase production to as much as 2 billion doses or more by the end of 2021 - and face a massive task in distributing them.,Pfizer's Dormitzer is more prepared than many to meet the challenges, having led research efforts at Novartis AG in the 2009 H1N1 swine flu pandemic. That project produced three licensed vaccines in the most rapid pandemic vaccine response until now.,At Novartis AG, Dormitzer began testing novel ways to make vaccines using messenger ribonucleic acid, or mRNA, which contains instructions for human cells. In this case, scientists introduce mRNA instructions for cells to make a portion of a virus, which the immune system recognizes as a threat and counters with a protective response. No actual virus is involved in the process.,By contrast, to create a typical vaccine, scientists use bits of dead or weakened virus, which are then injected to produce the immune response.,The appeal of mRNA vaccines - and a key secret to their speed - is they are plug-and-play: The mRNA vehicle does not need to change, only the specific genetic instructions it carries. If the virus changes or mutates, the details of the instructions can be altered accordingly.,At Pfizer, one of Dormitzer's colleagues, Julia Li, had been scouting for potential partners with mRNA technology for a few years. Li settled on a little-known German biotech firm called BioNTech that was using mRNA technology to make cancer treatments. The company was co-founded by Chief Executive Ugur Sahin and his wife, Chief Medical Officer Oezlem Tuereci.,""I originally wasn't that interested,"" Dormitzer said. ""Why would I look at an oncology company?"" he recalled. ""We're doing viral infectious diseases."",Li saw something more. BioNTech had mRNA production capacity, a solid team of scientists and a desire to start working on infectious diseases. ""We ended up going into Germany and meeting the folks at BioNTech,"" said Dormitzer.In August 2018, the two companies began work on an mRNA-based flu vaccine.,Already concerned about a possible coronavirus pandemic, Sahin decided in January that BioNTech should begin developing a vaccine, said Katalin Karikó, the company's senior vice president and one of the pioneers behind the mRNA technology. The CEO designed several of the vaccine candidates himself, she said.,Again, the companies proved to have complementary skills. ""BioNTech is a smaller company, more flexible,"" said Karikó. ""A big pharma, like Pfizer, has the infrastructure, knows how to scale up, how to run things."",In early March, the pair decided to expand their partnership, embarking on a coronavirus vaccine deal worth up to $750 million.,Both companies recognized that mRNA vaccines work very differently in animals compared to humans. For that reason, after doing preliminary animal studies to ensure vaccine candidates were safe, they pared back additional animal studies, which are aimed at identifying the single best candidate, and moved into human trials with several prototype vaccines.,In the spring, the drugmakers' first human trials began, starting with the phase 1 safety trials in Germany in April, followed by those in the United States in May. They tested four versions in all. The aim was ""to figure out in a quick, quick clip, what really was working best in people,"" Dormitzer said.,Pfizer and BioNTech disclosed preliminary Phase 1 data on 45 U.S. adult volunteers on July 1, showing one version of the vaccine - called B1 for short - appeared to be safe. Scientists noticed then that the vaccine appeared to induce antibody production exceeding that in people who recovered on their own from COVID-19.,On July 20, the companies' German trial indicated for the first time that the vaccine also induced production of T-cells that are thought to be important in activating an immune response against the coronavirus.,The two companies believed they were ready to test this candidate in a clinical trial that would ultimately enroll 44,000 people in the United States, Argentina, Brazil, Germany, South Africa and Turkey.,But on July 24, just days before they were scheduled to start the crucial trial, data on a different candidate called B2 became available. That version turned out to produce a similar immune response to B1, but had fewer side effects in older adults.,The researchers pivoted quickly to B2.,Work proceeded so fast that some researchers went weeks without seeing their families. Dormitzer hasn't seen his wife and kids since March, apart from Zoom calls.,""The urgency, the coordination, the intensity, I've never felt it more strongly … there is no downtime,"" said Dr. Pei-Yong Shi of the University of Texas Medical Branch in Galveston, who developed a new method to test the strength of the antibodies generated by the vaccine.,At the same time, hundreds of workers at the Pfizer research center in Pearl River, New York, were held to rigorous coronavirus prevention protocols: They couldn't touch door handles so all doors were propped open. They had to list everyone they came into contact with every day so that if anyone got sick, they'd have a map of potential exposures.,As the late-stage trial quickly enrolled volunteers, Pfizer's Bourla announced that efficacy data could come as early as October. It took a little longer - but not by much.,On November 9, based on results from a total of 94 infections, Pfizer made its bombshell announcement. Dormitzer says he only learned the apparent efficacy of the vaccine hours before the public did.,""I don't think any of us expected to see greater than 90% efficacy,"" Dormitzer said, adding that the FDA had specified a goal of at least 50%.,Karikó said she never had any doubt the vaccine would work. ""We could see the high level of cellular immune responses,"" she said. ""I was not nervous. I was so confident.""",Race for a cure,2020-11-17,How two companies sprinted ahead in extraordinary race for a COVID vaccine
"Home Depot's blue-chip stock, up 28% this year, fell 2.5% in early trading, despite the company beating quarterly sales and profit estimates.,Demand for home improvement products have remained elevated since coronavirus lockdowns started in March, as Americans spending more time at home due to limited options for travel or leisure activities use their discretionary income on minor home remodeling and repair work.,The heavy activity has, however, also led Home Depot to spend $1.7 billion in temporary pay and benefits for staff working through the health crisis. The company said on Tuesday it will change some of those benefits to permanent wage increases for frontline hourly employees.,A strengthening U.S. housing market, owed in part to record low mortgage rates, also encouraged customers to invest more in their homes, Home Depot said, signaling strong sales in the holiday season.,The company posted a 24.1% rise in same-store sales for the third quarter ended Nov. 1, beating analysts' average estimate of a 14.8% increase, according to IBES data from Refinitiv.,Home Depot earned $3.18 per share on net sales of $33.54 billion, while analysts had expected a profit of $3.06 per share on net sales of $32.04 billion.",Business News,2020-11-17,Home Depot boosts staff pay by $1 billion after uninterrupted sales surge
"LONDON (Reuters) - Britain is confident that it will strike a trade deal with Canada by the end of the year, British trade minister Greg Hands said on Tuesday.,""It is an incredibly important deal,"" Hands told parliament, saying Canada was an important strategic partner and 16th largest trading partner.,Last week, Canadian Prime Minister Justin Trudeau said the deal was a ""really easy one"" and was hopeful it would be agreed before January.",Business News,2020-11-17,"UK confident of Canadian trade deal by Jan. 1, minister says"
